link,Name,Brand,fl_oz,calories,Caffeine,mg/floz,Type,pic_link
/caffeine-content/califia-cold-brew,Califia Farms Cold Brew Coffee,other,8,10,180,22.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/califia-cold-brew.jpg
/caffeine-content/green-tea-ginger-ale,Canada Dry Green Tea Ginger Ale,other,12,140,9,0.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/green-tea-ginger-ale.jpg
/caffeine-content/cannonball-coffee,Cannonball Coffee Maximum Charge (UK),other,12,0,1101,91.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cannonball-coffee.jpg
/caffeine-content/cappuccino,Cappuccino,other,12,97,154,12.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cappuccino.jpg
/caffeine-content/carabao,Carabao Energy Drink (UK),other,11.16,63,106,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/carabao.jpg
/caffeine-content/caribou-bousted,Caribou BOUsted Sparkling Water,other,11.5,0,75,6.5,Water,https://www.caffeineinformer.com/wp-content/caffeine/caribou-bousted.jpg
/caffeine-content/caribou-coffee,Caribou Brewed Coffee,other,16,5,305,19.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/caribou-coffee.jpg
/caffeine-content/caribou-cold-brew,Caribou Canned Cold Brew,other,11.5,10,177,15.4,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/caribou-cold-brew.jpg
/caffeine-content/cascara,Cascara,other,8,0,36,4.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cascara.jpg
/caffeine-content/cbd-coffee-green-roads,CBD Coffee,other,8,0,100,12.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/cbd-coffee-green-roads.jpg
/caffeine-content/celsius-energy-drink,Celsius Energy Drink,Celsius,12,10,200,16.7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/celsius-energy-drink.jpg
/caffeine-content/celsius-stevia,Celsius Stevia,Celsius,12,15,200,16.7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/celsius-stevia.jpg
/caffeine-content/chai-tea,Chai Tea,other,8,0,50,6.2,Tea,https://www.caffeineinformer.com/wp-content/caffeine/chai-tea.jpg
/caffeine-content/chameleon-cold-brew-coffee,Chameleon Cold Brew Coffee,Chameleon,8,15,210,26.2,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chameleon-cold-brew-coffee.jpg
/caffeine-content/chameleon-rtd,Chameleon Cold Brew RTD,Chameleon,10,10,230,23,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chameleon-rtd.jpg
/caffeine-content/chameleon-milk,Chameleon Cold Brew With Milk,Chameleon,11,100,100,9.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chameleon-milk.jpg
/caffeine-content/cheerwine,Cheerwine,other,12,150,47,3.9,Soda,https://www.caffeineinformer.com/wp-content/caffeine/cheerwine.jpg
/caffeine-content/chick-fil-a-coffee,Chick-fil-A Brewed Coffee,Chick-fil-A,10,0,136,13.6,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chick-fil-a-coffee.jpg
/caffeine-content/chick-fil-a-frosted-coffee,Chick-fil-A Frosted Coffee,Chick-fil-A,14,240,130,9.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chick-fil-a-frosted-coffee.jpg
/caffeine-content/chick-fil-a-iced-coffee,Chick-fil-A Iced Coffee,Chick-fil-A,14,190,80,5.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/chick-fil-a-iced-coffee.jpg
/caffeine-content/chick-fil-a-iced-tea,Chick-fil-A Iced Tea,Chick-fil-A,16,120,62,3.9,Tea,https://www.caffeineinformer.com/wp-content/caffeine/chick-fil-a-iced-tea.jpg
/caffeine-content/choffy,Choffy (roasted cacao),other,6,0,23,3.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/choffy.jpg
/caffeine-content/cintron-energy-drink,Cintron Energy Drink,other,8.4,60,85,10.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/cintron-energy-drink.jpg
/caffeine-content/clif-shot-turbo-energy-gel,Clif Shot Energy Gel,other,1.2,100,100,83.3,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/clif-shot-turbo-energy-gel.jpg
/caffeine-content/club-mate,Club Mate (EU),other,16.91,160,100,5.9,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/club-mate.jpg
/caffeine-content/coca-cola-plus,Coca Cola Plus,Coca Cola,470,0,45,0.1,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coca-cola-plus.jpg
/caffeine-content/coca-cola-free,Coca-Cola Caffeine Free,Coca Cola,12,140,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coca-cola-free.jpg
/caffeine-content/cherry-coke,Coca-Cola Cherry,Coca Cola,12,150,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/cherry-coke.jpg
/caffeine-content/coca-cola-cherry-vanilla,Coca-Cola Cherry Vanilla,Coca Cola,12,140,34,2.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/coca-cola-cherry-vanilla.jpg
/caffeine-content/coke-zero-cherry,Coca-Cola Cherry Zero Sugar,Coca Cola,12,0,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coke-zero-cherry.jpg
/caffeine-content/coca-cola-classic,Coca-Cola Classic,Coca Cola,12,140,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coca-cola-classic.jpg
/caffeine-content/coke-energy-drink,Coca-Cola Energy,Coca Cola,12,140,114,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/coke-energy-drink.jpg
/caffeine-content/orange-vanilla-coke,Coca-Cola Orange Vanilla,Coca Cola,12,140,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/orange-vanilla-coke.jpg
/caffeine-content/vanilla-coke,Coca-Cola Vanilla,Coca Cola,12,150,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/vanilla-coke.jpg
/caffeine-content/coke-zero-vanilla,Coca-Cola Vanilla Zero Sugar,Coca Cola,12,0,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coke-zero-vanilla.jpg
/caffeine-content/coca-cola-coffee,Coca-Cola With Coffee,Coca Cola,12,70,69,5.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coca-cola-coffee.jpg
/caffeine-content/coke-zero,Coca-Cola Zero Sugar,Coca Cola,12,0,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/coke-zero.jpg
/caffeine-content/cocaine-energy-drink,Cocaine Energy Drink,other,12,90,280,23.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/cocaine-energy-drink.jpg
/caffeine-content/coffee-brewed,Coffee,other,8,0,163,20.4,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-brewed.jpg
/caffeine-content/coffee-decaf-instant,"Coffee (Decaf, Instant)",other,8,6,2,0.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-decaf-instant.jpg
/caffeine-content/coffee-instant,Coffee (Instant),other,8,0,57,7.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/coffee-instant.jpg
